synset	emotional	sentence	substitue																																																																																																																										
Synset('blast.v.07')	2	He <b>shot</b> away at the men.	"blaze_away, blaze"	gun	"open_fire, fire"	overshoot	pump	"sharpshoot, snipe"																																																																																																																					
Synset('depart.v.03')	2	The spaceship <b>departed</b> out into space.	"blaze, blaze_out"	roar_off	"sally_forth, sally_out"	"take_off, lift_off"																																																																																																																							
Synset('knock.v.06')	2	The Senator <b>criticized</b> the administration in his speech on Friday.	"admonish, reprove"	"attack, round, assail, lash_out, snipe, assault"	"belabor, belabour"	"blame, find_fault, pick"	"call_on_the_carpet, take_to_task, rebuke, rag, trounce, reproof, lecture, reprimand, jaw, dress_down, call_down, scold, chide, berate, bawl_out, remonstrate, chew_out, chew_up, have_words, lambaste, lambast"	come_down	denounce	deplore	"disparage, belittle, pick_at"	harsh_on	nitpick	reprehend	"reprimand, censure, criminate"	"savage, blast, pillory, crucify"																																																																																																													
Synset('better.v.02')	0	The tax cut will <b>improve</b> the economy.	advance	build	"build_up, develop"	condition	educate	emend	enhance	enrich	"fancify, beautify, embellish, prettify"	fructify	"help, aid"	help	"iron_out, straighten_out, put_right"	"perfect, hone"	"polish, refine, fine-tune, down"	"purify, sublimate, make_pure, distill"	"raise, lift"	reform	reform	"regenerate, revitalize"	"relieve, alleviate, palliate, assuage"	"repair, mend, fix, bushel, doctor, furbish_up, restore, touch_on"	turn_around	upgrade	upgrade																																																																																																		
Synset('impair.v.01')		The stroke <b>impaired</b> memories of her youth.																																																																																																																											
Synset('intend.v.01')	0	She <b>intended</b> to go far in the world of business.	"aim, purpose, purport, propose"	design	"plan, be_after"																																																																																																																								
Synset('weaken.v.01')	2	Life in the camp <b>weakened</b> him.	blunt	break	"cripple, stultify"	dampen	"de-energize, de-energise"	depress	"devitalize, devitalise"	"dilute, thin, thin_out, reduce, cut"	"emasculate, castrate"	enervate	"enfeeble, debilitate, drain"	etiolate	"neutralize, neutralise, nullify, negate"	"rarefy, attenuate"	shake	"temper, season, mollify"	unbrace	wash_out																																																																																																									
Synset('consume.v.05')	2	The exercise class <b>depletes</b> me of energy.	"burn_off, burn, burn_up"	drain	"indulge, luxuriate"	"run_down, exhaust, play_out, sap, tire"	run_out	spend																																																																																																																					
Synset('give_birth.v.01')	0	Many of the laboratory animals <b>have</b> the trait.	"calve, have_young"	cub	drop	"farrow, pig"	fawn	foal	"have_a_bun_in_the_oven, bear, carry, gestate, expect"	kitten	lamb	litter	twin	"whelp, pup"																																																																																																															
Synset('destroy.v.01')	1	These events could <b>destroy</b> the balance of power.	"demolish, pulverize, pulverise"	demyelinate	destruct	dilapidate	"disassemble, dismantle, take_apart, break_up, break_apart"	end	"extinguish, eliminate, get_rid_of, do_away_with"	fracture	interdict	kill	"level, raze, rase, dismantle, tear_down, take_down, pull_down"	"self-destruct, self-destroy"	"uproot, eradicate, extirpate, root_out, exterminate"	"wipe_out, sweep_away"																																																																																																													
Synset('pervert.v.03')	2	This writer really <b>misuses</b> the language.	fracture	take_in_vain																																																																																																																									
Synset('deduce.v.01')	0	I <b>infer</b> you have not done your homework.	elicit	extrapolate	surmise																																																																																																																								
Synset('protect.v.01')	0	This vaccine will <b>protect</b> you against infection.	body_guard	charm	cover	cover	cover	cover	cover_for	"defend, guard, hold"	"guard, ward"	"immunize, immunise"	insure	"keep, preserve"	look_out	mothproof	overprotect	safeguard	"shield, screen"	"wall, palisade, fence, fence_in, surround"																																																																																																									
Synset('run.v.06')	1	Tears <b>ran</b> down her face.	circulate	"drain, run_out"	"eddy, purl, whirlpool, swirl, whirl"	flush	gutter	"jet, gush"	pour	run_down	"seep, ooze"	"spill, run_out"	"stream, well_out"	"tide, surge"	"trickle, dribble, filter"	"waste, run_off"																																																																																																													
Synset('be.v.03')	2	The fate of Bosnia <b>is</b> in the hands of the West.	"attend, go_to"	"belong, go"	center_on	come	"cover, continue, extend"	"extend, poke_out, reach_out"	face	follow	"go, lead"	inhabit	lie	"lie, rest"	"occupy, fill"	"populate, dwell, live, inhabit"	"reach, extend_to, touch"	"run, go, pass, lead, extend"	"sit, sit_around"	sit	"stand_back, keep_one's_eyes_off, keep_one's_distance, keep_one's_hands_off, stay_away"	straddle	"stretch, stretch_along"																																																																																																						
Synset('overwhelm.v.01')	1	He was <b>overwhelmed</b> in a laughing fit.	benight	devastate	kill	knock_out	lock	"seize, clutch, get_hold_of"	stagger																																																																																																																				
Synset('appear.v.02')	0	The new moon <b>appeared</b> through the tree tops.	"basset, crop_out"	break	"break_through, come_through"	"come_on, come_out, turn_up, surface, show_up"	"come_to_light, come_to_hand"	"come_to_mind, spring_to_mind"	"crop_up, pop_up, pop"	emerge	emerge	"erupt, come_out, break_through, push_through"	erupt	flash	flash	"leap_out, rush_out, sally_out, burst_forth"	manifest	outcrop	peep	"pop_out, burst_out"	"reappear, re-emerge"	roll_in	"show, show_up"	turn_out	wash_up																																																																																																				
Synset('affect.v.05')	2	The cold <b>affected</b> her bones.	alienate	awaken	cloud	"disturb, upset, trouble"	engrave	"hit_home, strike_home, strike_a_chord, strike_a_note"	impress	"impress, ingrain, instill"	infect	jar	move	pierce	sadden	smite	strike_dumb	surprise	"sweep_away, sweep_off"	"touch, stir"	zap																																																																																																								
Synset('invest.v.01')	0	We <b>invested</b> money into the education of our children.	buy_into	fund	roll_over	shelter	"speculate, job"	tie_up																																																																																																																					
Synset('crowd.v.03')	0	People were <b>crowding</b> out of the theater.	herd	mass	overcrowd	"pour, swarm, stream, teem, pullulate"	"throng, mob, pack, pile, jam"																																																																																																																						
Synset('travel.v.01')	0	The tornado <b>moved</b> along the coast.	accompany	"advance, progress, pass_on, move_on, march_on, go_on"	angle	"ascend, go_up"	automobile	back	bang	beetle	betake_oneself	billow	"bounce, jounce"	breeze	caravan	career	carry	circle	"circle, circulate"	circuit	circulate	"come, come_up"	come	"crawl, creep"	cruise	"derail, jump"	"descend, fall, go_down, come_down"	do	drag	draw	"drive, motor"	drive	ease	fall	fall	ferry	"float, drift, be_adrift, blow"	"float, swim"	float	flock	"fly, wing"	fly	follow	"follow, travel_along"	"forge, spurt, spirt"	"get_around, get_about"	ghost	glide	"go_around, spread, circulate"	"hiss, whoosh"	hurtle	island_hop	lance	lurch	"outflank, go_around"	pace	pan	"pass, go_through, go_across"	"pass_over, overfly"	play	"plow, plough"	prance	"precede, lead"	precess	"proceed, go_forward, continue"	propagate	"pursue, follow"	push	raft	"repair, resort"	retreat	retrograde	return	"ride, sit"	ride	ride	"rise, lift, arise, move_up, go_up, come_up, uprise"	"roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond"	round	run	run	"rush, hotfoot, hasten, hie, speed, race, pelt_along, rush_along, cannonball_along, bucket_along, belt_along, step_on_it"	scramble	seek	shuttle	sift	ski	"slice_into, slice_through"	"slither, slide"	snowshoe	speed	"steamer, steam"	step	"step, tread"	step	"stray, err, drift"	swap	swash	swim	swim	swing	taxi	"trail, shack"	tram	"transfer, change"	"travel, journey"	travel	"travel, move_around"	"travel_by, pass_by, surpass, go_past, go_by, pass"	travel_purposefully	"travel_rapidly, speed, hurry, zip"	trundle	"turn, move_around"	walk	"walk, take_the_air"	"weave, wind, thread, meander, wander"	wend	"wheel, roll"	whine	whish	whisk	whistle	"withdraw, retreat, pull_away, draw_back, recede, pull_back, retire, move_back"	"zigzag, crank"	zoom
Synset('knock.v.06')	2	The candidate <b>criticized</b> into his opponent mercilessly.	"admonish, reprove"	"attack, round, assail, lash_out, snipe, assault"	"belabor, belabour"	"blame, find_fault, pick"	"call_on_the_carpet, take_to_task, rebuke, rag, trounce, reproof, lecture, reprimand, jaw, dress_down, call_down, scold, chide, berate, bawl_out, remonstrate, chew_out, chew_up, have_words, lambaste, lambast"	come_down	denounce	deplore	"disparage, belittle, pick_at"	harsh_on	nitpick	reprehend	"reprimand, censure, criminate"	"savage, blast, pillory, crucify"																																																																																																													
Synset('escape.v.01')	0	I couldn't <b>escape</b> the car that was following me.	"break, break_out, break_away"	"elude, evade, bilk"	"escape, get_away"	run_away	"shake, shake_off, throw_off, escape_from"	slip																																																																																																																					
Synset('weaken.v.01')	2	The bad news <b>weakened</b> her hopes.	blunt	break	"cripple, stultify"	dampen	"de-energize, de-energise"	depress	"devitalize, devitalise"	"dilute, thin, thin_out, reduce, cut"	"emasculate, castrate"	enervate	"enfeeble, debilitate, drain"	etiolate	"neutralize, neutralise, nullify, negate"	"rarefy, attenuate"	shake	"temper, season, mollify"	unbrace	wash_out																																																																																																									
Synset('ruin.v.02')	1	You have <b>ruined</b> my career.	break	shipwreck	undo																																																																																																																								
Synset('communicate.v.02')	2	He <b>communicated</b> his disapproval with a dismissive hand gesture.	"address, turn_to"	"aphorize, aphorise"	"ask, inquire, enquire"	blog	"carry, convey, express"	"come_across, come_over"	commune	"fingerspell, finger-spell"	"gesticulate, gesture, motion"	get	"give, pay"	"give, throw"	"give, render"	greet	"grimace, make_a_face, pull_a_face"	"inflict, bring_down, visit, impose"	inform	issue	"joke, jest"	network	nod	project	radio	"reach, get_through, get_hold_of, contact"	riddle	semaphore	share	"sign, signal, signalize, signalise"	sign	"speak, talk"	"talk, speak"	"talk, speak, utter, mouth, verbalize, verbalise"	telecommunicate	"telepathize, telepathise"	whistle	write	write	"yak, gab"																																																																																					
Synset('overwhelm.v.01')	1	She was <b>overwhelmed</b> with bills after she tried to rebuild her house following the earthquake.	benight	devastate	kill	knock_out	lock	"seize, clutch, get_hold_of"	stagger																																																																																																																				
Synset('condescend.v.01')		I won't <b>condescend</b> to reading other people's mail.																																																																																																																											
Synset('communicate.v.02')		Actions <b>communicate</b> louder than words.	"address, turn_to"	"aphorize, aphorise"	"ask, inquire, enquire"	blog	"carry, convey, express"	"come_across, come_over"	commune	"fingerspell, finger-spell"	"gesticulate, gesture, motion"	get	"give, pay"	"give, throw"	"give, render"	greet	"grimace, make_a_face, pull_a_face"	"inflict, bring_down, visit, impose"	inform	issue	"joke, jest"	network	nod	project	radio	"reach, get_through, get_hold_of, contact"	riddle	semaphore	share	"sign, signal, signalize, signalise"	sign	"speak, talk"	"talk, speak"	"talk, speak, utter, mouth, verbalize, verbalise"	telecommunicate	"telepathize, telepathise"	whistle	write	write	"yak, gab"																																																																																					
Synset('strain.v.03')		You are <b>straining</b> my patience.	"overstrain, overextend"	"tax, task"																																																																																																																									
Synset('displace.v.01')	0	The war <b>displaced</b> many people.	dislocate	"dislodge, bump"	evacuate	"force_out, crowd_out"	"transplant, transfer"	"uproot, deracinate"																																																																																																																					
Synset('destroy.v.01')	0	The vestiges of political democracy were soon <b>destroyed<\b>.	"demolish, pulverize, pulverise"	demyelinate	destruct	dilapidate	"disassemble, dismantle, take_apart, break_up, break_apart"	end	"extinguish, eliminate, get_rid_of, do_away_with"	fracture	interdict	kill	"level, raze, rase, dismantle, tear_down, take_down, pull_down"	"self-destruct, self-destroy"	"uproot, eradicate, extirpate, root_out, exterminate"	"wipe_out, sweep_away"																																																																																																													
Synset('inflict.v.01')	1	The principal <b>inflicted</b> his rage on the students.	clamp	foist	give	"intrude, obtrude"	"order, prescribe, dictate"																																																																																																																						
Synset('afflict.v.02')		He was <b>afflicted</b> with a terrible illness that killed him quickly.	"blight, plague"	visit																																																																																																																									
Synset('waste.v.01')		He <b>squandered</b> his inheritance on his insincere friends.	burn																																																																																																																										
Synset('react.v.01')	0	The steering of my new car <b>reacts</b> to the slightest touch.	"accept, consent, go_for"	accept	accept	answer	answer	bristle	explode	"flip, flip_out"	greet	"notice, acknowledge"	overreact	"refuse, decline"	"resist, reject, refuse"	respond	stool	treat	"wonder, marvel"																																																																																																										
Synset('get_down.v.07')	2	I <b>started on</b> the problem as soon as I got out of bed.	attack	auspicate	break_in	come_on	"embark, enter"	fall	"get_cracking, bestir_oneself, get_going, get_moving, get_weaving, get_started, get_rolling"	get_to	jump_off	"plunge, launch"	recommence	strike_out																																																																																																															
Synset('decrease.v.01')	2	The distinction between the two theories <b>decreased</b>.	"abate, let_up, slack_off, slack, die_away"	"boil_down, reduce, decoct, concentrate"	break	break	de-escalate	"decelerate, slow, slow_down, slow_up, retard"	"decline, go_down, wane"	decrescendo	deflate	"depreciate, undervalue, devaluate, devalue"	drop_off	"dwindle, dwindle_away, dwindle_down"	"ease_up, ease_off, slacken_off, flag"	remit	shorten	"shrink, contract"	"shrink, shrivel"	"shrivel, shrivel_up, shrink, wither"	taper	thin_out	"vanish, fly, vaporize"	wane	wane	weaken																																																																																																			
Synset('summon.v.01')	0	He <b>summoned</b> the servant.	demand	vouch																																																																																																																									
Synset('put.v.01')	0	The judge <b>put</b> him in jail.	appose	"arrange, set_up"	barrel	bed	bottle	bucket	butt	clap	cock	coffin	cram	dispose	docket	emplace	emplace	"ensconce, settle"	"glycerolize, glycerolise"	ground	imbricate	"insert, enclose, inclose, stick_in, put_in, introduce"	"install, instal, put_in, set_up"	intersperse	jar	juxtapose	ladle	"lay, put_down, repose"	lean	load	marshal	middle	"misplace, mislay, lose"	misplace	"nestle, snuggle"	parallelize	park	perch	pigeonhole	pile	"pillow, rest"	"plant, set"	plant	poise	position	postpose	prepose	rack_up	recess	recline	"replace, put_back"	repose	reposition	rest	"seat, sit, sit_down"	seat	seat	set	set_down	"set_down, put_down, place_down"	"settle, settle_down"	shelve	ship	sign	siphon	"situate, fix, posit, deposit"	"sow, seed"	space	"stand, stand_up, place_upright"	step	stratify	"superimpose, superpose, lay_over"	superpose	"tee, tee_up"	"throw, thrust"	throw	trench	underlay	upend																																														
Synset('progress.v.01')		This young man knows how to <b>progress on</b> the social ladder.	climb	leapfrog																																																																																																																									
Synset('increase.v.01')	0	Sales were <b>increasing</b> after prices were lowered.	accrue	"accumulate, cumulate, conglomerate, pile_up, gather, amass"	add	add_to	"appreciate, apprize, apprise, revalue"	broaden	crescendo	"explode, irrupt"	"gain, gather"	grow	"intensify, compound, heighten, deepen"	"intensify, deepen"	pullulate	pyramid	shoot_up	snowball	spike	swell	"wax, mount, climb, rise"	"wax, full"	widen																																																																																																						
Synset('affect.v.01')	2	My personal feelings <b>affect</b> my judgment in this case.	"hit, strike"	"hydrolize, hydrolise"	"influence, act_upon, work"	"process, treat"	"queer, expose, scupper, endanger, peril"	redound	repercuss	slam-dunk	"stimulate, excite"	strike_a_blow	subject	tell_on	"tinge, color, colour, distort"	"trouble, put_out, inconvenience, disoblige, discommode, incommode, bother"																																																																																																													
Synset('connect.v.03')	0	The rooms <b>were connected</b>.	articulate	"complect, interconnect, interlink"	syndicate																																																																																																																								
Synset('amuse.v.02')		The comedian <b>amused</b> the crowd.	convulse																																																																																																																										
Synset('culminate.v.01')	2	The speech <b>culminated</b> the meeting.	"crown, top"																																																																																																																										
Synset('top.v.03')		A weather vane <b>tops</b> the building.																																																																																																																											
Synset('begin.v.02')	2	The age of computers had <b>begun</b>.	break_out	bud	dawn	"erupt, break_out"	originate	"set_in, kick_in"																																																																																																																					
Synset('reduce.v.01')	2	The new measures <b>reduced</b> the economy.	deflate	downsize	inflate	quench	retrench	"shave, knock_off"	shorten	slash	spill	subtract	"take_away, detract"	thin	thin_out																																																																																																														
Synset('destroy.v.02')		Fire had <b>destroyed</b> our home.	"break, bust"	break	"burn, fire, burn_down"	"bust_up, wreck, wrack"	consume	devour	do_a_job_on	explode	get	"harry, ravage"	"kick_in, kick_down"	"lay_waste_to, waste, devastate, desolate, ravage, scourge"	"rape, spoil, despoil, violate, plunder"	shipwreck	subvert	"vandalize, vandalise"	wash_out																																																																																																										
Synset('enjoy.v.01')		She <b>enjoyed</b> his novels.	devour	feast_one's_eyes																																																																																																																									
Synset('systematize.v.01')		The government <b>systematized</b> the entire law into a code.	codify	digest																																																																																																																									
Synset('submerge.v.02')		I was <b>overwhelmed by</b> work.																																																																																																																											
