synset	emotional	sentence	substitue																																																																																																																										
Synset('decrease.v.01')		Middle age <b>decreased</b> her appetite for travel.	"abate, let_up, slack_off, slack, die_away"	"boil_down, reduce, decoct, concentrate"	break	break	de-escalate	"decelerate, slow, slow_down, slow_up, retard"	"decline, go_down, wane"	decrescendo	deflate	"depreciate, undervalue, devaluate, devalue"	drop_off	"dwindle, dwindle_away, dwindle_down"	"ease_up, ease_off, slacken_off, flag"	remit	shorten	"shrink, contract"	"shrink, shrivel"	"shrivel, shrivel_up, shrink, wither"	taper	thin_out	"vanish, fly, vaporize"	wane	wane	weaken																																																																																																			
Synset('appear.v.02')		Some nice results <b>appeared</b> from the study.	"basset, crop_out"	break	"break_through, come_through"	"come_on, come_out, turn_up, surface, show_up"	"come_to_light, come_to_hand"	"come_to_mind, spring_to_mind"	"crop_up, pop_up, pop"	emerge	emerge	"erupt, come_out, break_through, push_through"	erupt	flash	flash	"leap_out, rush_out, sally_out, burst_forth"	manifest	outcrop	peep	"pop_out, burst_out"	"reappear, re-emerge"	roll_in	"show, show_up"	turn_out	wash_up																																																																																																				
Synset('convey.v.01')		The latest intelligence is <b>conveyed</b> to all command posts.	breathe	"express, show, evince"	flash	"hint, suggest"	look	"mean, intend"	say	"thank, give_thanks"																																																																																																																			
Synset('travel.v.01')		The dancer <b>moved</b> across the stage.	accompany	"advance, progress, pass_on, move_on, march_on, go_on"	angle	"ascend, go_up"	automobile	back	bang	beetle	betake_oneself	billow	"bounce, jounce"	breeze	caravan	career	carry	circle	"circle, circulate"	circuit	circulate	"come, come_up"	come	"crawl, creep"	cruise	"derail, jump"	"descend, fall, go_down, come_down"	do	drag	draw	"drive, motor"	drive	ease	fall	fall	ferry	"float, drift, be_adrift, blow"	"float, swim"	float	flock	"fly, wing"	fly	follow	"follow, travel_along"	"forge, spurt, spirt"	"get_around, get_about"	ghost	glide	"go_around, spread, circulate"	"hiss, whoosh"	hurtle	island_hop	lance	lurch	"outflank, go_around"	pace	pan	"pass, go_through, go_across"	"pass_over, overfly"	play	"plow, plough"	prance	"precede, lead"	precess	"proceed, go_forward, continue"	propagate	"pursue, follow"	push	raft	"repair, resort"	retreat	retrograde	return	"ride, sit"	ride	ride	"rise, lift, arise, move_up, go_up, come_up, uprise"	"roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond"	round	run	run	"rush, hotfoot, hasten, hie, speed, race, pelt_along, rush_along, cannonball_along, bucket_along, belt_along, step_on_it"	scramble	seek	shuttle	sift	ski	"slice_into, slice_through"	"slither, slide"	snowshoe	speed	"steamer, steam"	step	"step, tread"	step	"stray, err, drift"	swap	swash	swim	swim	swing	taxi	"trail, shack"	tram	"transfer, change"	"travel, journey"	travel	"travel, move_around"	"travel_by, pass_by, surpass, go_past, go_by, pass"	travel_purposefully	"travel_rapidly, speed, hurry, zip"	trundle	"turn, move_around"	walk	"walk, take_the_air"	"weave, wind, thread, meander, wander"	wend	"wheel, roll"	whine	whish	whisk	whistle	"withdraw, retreat, pull_away, draw_back, recede, pull_back, retire, move_back"	"zigzag, crank"	zoom
Synset('move.v.03')		The crowd <b>moved</b> out of the stadium.	"arouse, stir"	"assume, take, strike, take_up"	"beat, pound, thump"	"beat, flap"	bob	bolt	"brush, sweep"	"buck, jerk, hitch"	"bustle, bustle_about, hustle"	"cant, cant_over, tilt, slant, pitch"	"careen, wobble, shift, tilt"	chop	"churn, boil, moil, roil"	climb	close	"close, come_together"	crash	cut	cut_to	dance	"dance, trip_the_light_fantastic, trip_the_light_fantastic_toe"	dance	diverge	dodge	dodge	drop_back	duck	"exit, go_out, get_out, leave"	"falter, waver"	fidget	"flex, bend"	"flinch, squinch, funk, cringe, shrink, wince, recoil, quail"	fling	"flip, twitch"	"flow, flux"	flurry	fly	get_down	grab	gravitate	heave	"hit_the_dirt, hit_the_deck"	hop	"hop_on, mount, mount_up, get_on, jump_on, climb_on, bestride"	"jerk, twitch"	"jolt, jar"	"jump, leap, bound, spring"	"jump, leap, jump_off"	"linger, dawdle"	"list, lean"	"lunge, hurl, hurtle, thrust"	"lurch, pitch, shift"	make_way	"mill, mill_about, mill_around"	"mope, mope_around"	move_back_and_forth	"move_involuntarily, move_reflexively"	"move_over, give_way, give, ease_up, yield"	nod	"pulsate, beat, quiver"	"putter, potter, potter_around, putter_around"	quicken	"reach, reach_out"	reciprocate	"roll, undulate, flap, wave"	"run, flow, feed, course"	seesaw	"separate, part, split"	"shake, agitate"	sidle	"sidle, sashay"	slip	"snap, click"	snap	"snap, click, flick"	"spread, propagate"	"startle, jump, start"	"steal, slip"	"stir, shift, budge, agitate"	streak	"stretch, stretch_out"	strike_out	"stumble, trip"	"sweep, sail"	swoop	"teeter, seesaw, totter"	throw	thunder	turn	turn	vibrate	"wallow, welter"	"wamble, waggle"	"whirl, tumble, whirl_around"	"wobble, coggle"	"writhe, wrestle, wriggle, worm, squirm, twist"																											
Synset('hush.v.02')		The press was <b>silenced</b>.	"gag, muzzle"	"lull, calm_down"	shout_down	shush																																																																																																																							
Synset('shine.v.02')		The sun <b>shone</b> down on us.	beacon	beat_down	blaze	"burn, glow"	"flare, flame"	"flicker, flick"	glare	outshine	shimmer	"twinkle, winkle, scintillate"																																																																																																																	
Synset('reflect.v.04')		The moon <b>reflected</b> back at itself from the lake's surface.	glare	luminesce	opalesce	resplend	"sparkle, scintillate, coruscate"																																																																																																																						
Synset('intrigue.v.01')		This story will <b>intrigue</b> you.	"grab, seize"																																																																																																																										
Synset('tend.v.01')		The conversation <b>tended</b> towards politics.	gravitate	suffer	take_kindly_to																																																																																																																								
Synset('try.v.01')		His mind <b>tried</b> to make the connection.	"endeavor, endeavour, strive"	"fight, struggle"	"gamble, chance, risk, hazard, take_chances, adventure, run_a_risk, take_a_chance"	"give_it_a_whirl, give_it_a_try"	grope	"have_a_go, give_it_a_try"	"risk, put_on_the_line, lay_on_the_line"	"take_a_dare, pick_up_the_gauntlet"																																																																																																																			
Synset('vibrate.v.01')		The oscillator <b>vibrates</b> about the correct frequency.	"judder, shake"	"shimmy, wobble"																																																																																																																									
Synset('arouse.v.01')		The ostentatious way of living of the rich <b>arouses</b> the hatred of the poor.	anger	draw	excite	"hurt, wound, injure, bruise, offend, spite"	infatuate	"inflame, stir_up, wake, ignite, heat, fire_up"	interest	"invite, ask_for"	"overwhelm, overpower, sweep_over, whelm, overcome, overtake"	prick	rekindle	shame	"stimulate, shake, shake_up, excite, stir"	"strike_a_chord, touch_a_chord"	"upset, discompose, untune, disconcert, discomfit"																																																																																																												
Synset('add.v.01')		He <b>added</b> new life into the performance.	add_on	adjoin	button	butylate	"compound, combine"	concatenate	enrich	fortify	"gild_the_lily, paint_the_lily"	include	inject	intercalate	milk	"mix, mix_in"	"modify, qualify"	"punctuate, mark"	put_on	put_on	"string, string_up"	stud	supplement	welt	work_in																																																																																																				
Synset('manage.v.02')		She had to <b>manage</b> her job and her children.	"administer, administrate"	"come_to_grips, get_to_grips"	"conduct, carry_on, deal"	coordinate	direct	dispose_of	juggle	"mismanage, mishandle, misconduct"	"organize, organise"	process	"take_care, mind"	touch	work																																																																																																														
Synset('bring.v.02')		This may <b>bring</b> you in jail.																																																																																																																											
Synset('orient.v.01')		The house <b>is oriented</b> north.																																																																																																																											
Synset('weaken.v.02')		Her resistance <b>weakened</b> under his charm.	attenuate	"blur, dim, slur"	collapse	die_down	dull	"fade, melt"	"loosen, relax, loose"	"melt, disappear, evaporate"	pall	"pine_away, waste, languish"	slacken	"slow, slow_down, slow_up, slack, slacken"	"subside, lessen"	wilt																																																																																																													
Synset('unify.v.01')		Hundreds of actors were <b>merging</b> into the scene.	coalesce	consolidate	consubstantiate	converge	"federate, federalize, federalise"	"syncretize, syncretise"																																																																																																																					
Synset('cling.v.01')		The dress <b>clings to</b> her beautiful figure.	agglutinate	conglutinate	mold																																																																																																																								
Synset('rock.v.01')		The flowers were <b>swaying</b> in the breeze.	nutate	roll	swag	totter																																																																																																																							
Synset('advertise.v.02')		The salesman is aggressively <b>promoting</b> the new computer model.	bill	"crusade, fight, press, campaign, push, agitate"	plug	"propagandize, propagandise"																																																																																																																							
Synset('approach.v.01')		She is <b>approaching</b> fifty.	"bear_down_on, bear_down_upon"	close	drive_up	"edge_in, edge_up"	"push, crowd"																																																																																																																						
Synset('deal.v.06')		The guy hanging around the school is <b>selling</b> drugs.	black_marketeer	deal	market	"peddle, monger, huckster, hawk, vend, pitch"	push	pyramid																																																																																																																					
Synset('crusade.v.01')		The liberal party <b>campaigned</b> for reforms.																																																																																																																											
Synset('urge.v.01')		He <b>urged</b> her to finish her doctorate.	"preach, advocate"	"push, bear_on"	"rush, hurry"																																																																																																																								
Synset('complement.v.01')		She <b>complements</b> her lectures with jokes.																																																																																																																											
Synset('scatter.v.03')		The rebels had <b>scattered</b> the fields with mines and traps.	"aerosolize, aerosolise"	bespangle	"spatter, splatter, plash, splash, splosh, swash"	spray	spray	"sprinkle, splash, splosh"																																																																																																																					
Synset('lavish.v.01')		He was <b>lavished</b> with praise.																																																																																																																											
Synset('supply.v.01')		He <b>provided</b> her with presents.	"air-cool, air-condition"	alphabetize	arm	bed	berth	"bewhisker, whisker"	"border, edge"	bottom	brattice	bush	calk	"canal, canalize, canalise"	"capitalize, capitalise"	caption	causeway	charge	cleat	coal	"computerize, computerise"	constitutionalize	copper-bottom	corbel	cornice	costume	"crenel, crenelate, crenellate"	curtain	dado	date	"equip, fit, fit_out, outfit"	"extend, offer"	feed	"flood, oversupply, glut"	fret	fuel	"fuel, fire"	fund	furnish	gate	"glass, glaze"	grate	hat	headline	headquarter	heat	hobnail	hydrate	index	innervate	interleave	"joint, articulate"	kern	key	leverage	machicolate	match	offer	partner	patch	pour	"provision, purvey"	pump	rafter	rail	railroad	ramp	"reflectorize, reflectorise"	retrofit	rim	sanitate	seat	seat	shelter	"signalize, signalise"	slat	step	"stint, skimp, scant"	stock	stock	"stock, buy_in, stock_up"	stock	subtitle	"surfeit, cloy"	tap	"terrace, terrasse"	theme	ticket	toggle	tool	"top, top_out"	"transistorize, transistorise"	tube	uniform	upholster	victual	water	wharf	wive	"yield, give, afford"																									
Synset('sound.v.02')		The kettle was <b>sounding</b>.	bang	bleep	blow	blow	"boom, din"	"boom, boom_out"	"buzz, bombinate, bombilate"	"chatter, click"	chime	chug	"clang, clangor"	"clangor, clangour"	clank	"click, tick"	"clop, clump, clunk, plunk"	crack	crash	drone	"drum, beat, thrum"	glug	guggle	gurgle	"honk, blare, beep, claxon, toot"	"hum, thrum"	"lap, swish, swosh, swoosh"	"make_noise, resound, noise"	"patter, pitter-patter"	ping	"pink, ping, knock"	pop	rattle	"resonate, vibrate"	"resound, echo, ring, reverberate"	"ring, peal"	"ripple, babble, guggle, burble, bubble, gurgle"	roll	"rumble, grumble"	rustle	skirl	"snap, crack"	snarl	"splash, splosh, slosh, slush"	splat	squelch	"tap, rap, knock, pink"	"thud, thump"	"tick, ticktock, ticktack, beat"	ting	"tinkle, tink, clink, chink"	trump	twang	"tweet, twirp"	whish	whistle	"whistle, sing"	"whizz, whiz, whirr, whir, birr, purr"																																																																			
Synset('put.v.01')		He <b>posed</b> his shoulders.	appose	"arrange, set_up"	barrel	bed	bottle	bucket	butt	clap	cock	coffin	cram	dispose	docket	emplace	emplace	"ensconce, settle"	"glycerolize, glycerolise"	ground	imbricate	"insert, enclose, inclose, stick_in, put_in, introduce"	"install, instal, put_in, set_up"	intersperse	jar	juxtapose	ladle	"lay, put_down, repose"	lean	load	marshal	middle	"misplace, mislay, lose"	misplace	"nestle, snuggle"	parallelize	park	perch	pigeonhole	pile	"pillow, rest"	"plant, set"	plant	poise	position	postpose	prepose	rack_up	recess	recline	"replace, put_back"	repose	reposition	rest	"seat, sit, sit_down"	seat	seat	set	set_down	"set_down, put_down, place_down"	"settle, settle_down"	shelve	ship	sign	siphon	"situate, fix, posit, deposit"	"sow, seed"	space	"stand, stand_up, place_upright"	step	stratify	"superimpose, superpose, lay_over"	superpose	"tee, tee_up"	"throw, thrust"	throw	trench	underlay	upend																																														
Synset('rush.v.03')		The new teacher tends to <b>rush</b>.																																																																																																																											
Synset('draw.v.05')		Mud was <b>pulling</b> at her feet.	unsheathe																																																																																																																										
Synset('cover.v.18')		The meat was <b>covered</b> in a fatty gravy.																																																																																																																											
Synset('confuse.v.02')		My brain is <b>confused</b> after the bottle of champagne.	demoralize	"disorient, disorientate"	"perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound"																																																																																																																								
Synset('experience.v.01')		The ex-slave <b>experienced</b> freedom shortly before she died.	come	enjoy	feel	"know, experience, live"	"suffer, endure"	"suffer, meet"	"witness, find, see"																																																																																																																				
Synset('transform.v.01')		Braque <b>transformed</b> collage into oil.																																																																																																																											
Synset('tug.v.02')		She <b>labored</b> for years to make a decent living.	"strive, reach, strain"																																																																																																																										
Synset('want.v.02')		This piano <b>requires</b> the attention of a competent tuner.	cry																																																																																																																										
Synset('have.v.02')		He always <b>has</b> a smile.	"abound, burst, bristle"	bear	brim	bristle	"carry, pack, take"	carry	carry	carry	give_off	"imply, involve"	possess	"read, say"	"sport, feature, boast"	star	"unite, combine"	"wear, bear"	wear	wear																																																																																																									
Synset('remove.v.05')		Her optimism <b>removed</b> these worries.																																																																																																																											
Synset('bet.v.02')		Which horse are you <b>betting</b> on.	"bet_on, back, gage, stake, game, punt"	play	raise	see																																																																																																																							
Synset('eject.v.01')		The ex-boxers job is to <b>eject</b> people who want to enter this private club.	bounce	evict	"evict, force_out"	"exorcise, exorcize"	show_the_door																																																																																																																						
Synset('believe.v.01')		I cant <b>believe</b> this story.	believe	believe_in	buy	swallow	"trust, swear, rely, bank"	"understand, infer"																																																																																																																					
Synset('represent.v.09')		The painting seems to <b>represent</b> the essence of Spring.	"animalize, animalise"	capture	draw	"graph, chart"	map	"model, mock_up"	paint	"picture, depict, render, show"	"portray, depict, limn"	"portray, present"	profile	"sensualize, carnalize"	silhouette	"stylize, stylise, conventionalize"																																																																																																													
Synset('arouse.v.01')		Islam is <b>provoking</b> Africa.	anger	draw	excite	"hurt, wound, injure, bruise, offend, spite"	infatuate	"inflame, stir_up, wake, ignite, heat, fire_up"	interest	"invite, ask_for"	"overwhelm, overpower, sweep_over, whelm, overcome, overtake"	prick	rekindle	shame	"stimulate, shake, shake_up, excite, stir"	"strike_a_chord, touch_a_chord"	"upset, discompose, untune, disconcert, discomfit"																																																																																																												
Synset('flood.v.03')		The company planned to <b>oversupply</b> the market with tennis shoes.																																																																																																																											
Synset('fuel.v.04')		This could <b>stimulate</b> the debate on creationism.																																																																																																																											
Synset('rejoice.v.01')		Make the peoples hearts <b>rejoiced</b>.	"cheer, cheer_up, chirk_up"	"exult, walk_on_air, be_on_cloud_nine, jump_for_joy"	gladden																																																																																																																								
Synset('cope.v.01')		I cant <b>cope with</b> it anymore.	fend	"hack, cut"	"improvise, extemporize"	"meet, match, cope_with"	"scrape_along, scrape_by, scratch_along, squeak_by, squeeze_by, rub_along"																																																																																																																						
Synset('match.v.01')		The colors dont <b>match</b>.	adhere	align	answer	"befit, suit, beseem"	coincide	consist	correlate	"corroborate, underpin, bear_out, support"	"harmonize, harmonise, consort, accord, concord, fit_in, agree"	homologize	look	"meet, fit, conform_to"	parallel	pattern	resemble	"rhyme, rime"	square	"twin, duplicate, parallel"																																																																																																									
Synset('corrupt.v.01')		The society was <b>corrupted</b> by racism.	"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('fudge.v.01')		They tried to <b>falsify</b> an account so as to hide a deficit.	juggle																																																																																																																										
Synset('address.v.04')		They wanted to <b>address</b> criticism or charges at somebody.																																																																																																																											
Synset('cheer.v.04')		After a glass of wine he <b>cheered</b> up a bit.	"exuberate, exult, rejoice, triumph, jubilate"	"lighten, lighten_up, buoy_up"																																																																																																																									
Synset('form.v.01')		They wanted to <b>organize</b> a theater production.	choose_up	draw_up	regiment	"reorganize, reorganise, regroup"	syndicate																																																																																																																						
Synset('corrupt.v.01')		You should never <b>corrupt</b> someone's mind.	"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('mean.v.01')		Im afraid this <b>means</b> trouble!	aim	"drive, get, aim"	signify	"spell, import"	"typify, symbolize, symbolise, stand_for, represent"																																																																																																																						
Synset('delight.v.02')		You should <b>delight</b> in your success!	"have_a_ball, have_a_good_time"	live_it_up	wallow																																																																																																																								